ISInt,RJitter,trialType_csv,Foil,StartingKey,Direction,ToneDistance,its1,it1_key1,its2,it2_key1,it2_key2,it2_key3,its3,it3_key11,it3_key12,it3_key13,it3_key21,it3_key22,it3_key23,it3_key31,it3_key32,it3_key33
0.5,4,I,C,8,A,1,it1,stimuli_refs/K8F2.jpeg,it2,stimuli_refs/K7F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K9F3.jpeg,it3,stimuli_refs/K6F1.jpeg,stimuli_refs/K7F2.jpeg,stimuli_refs/K8F3.jpeg,stimuli_refs/K7F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K9F3.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K9F2.jpeg,stimuli_refs/K10F3.jpeg
1,6,I,C,8,A,2,it1,stimuli_refs/K8F2.jpeg,it2,stimuli_refs/K6F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K10F3.jpeg,it3,stimuli_refs/K4F1.jpeg,stimuli_refs/K6F2.jpeg,stimuli_refs/K8F3.jpeg,stimuli_refs/K6F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K10F3.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K12F3.jpeg
1.5,6,I,C,8,D,1,it1,stimuli_refs/K8F2.jpeg,it2,stimuli_refs/K9F3.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K7F1.jpeg,it3,stimuli_refs/K10F3.jpeg,stimuli_refs/K9F2.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K9F3.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K7F1.jpeg,stimuli_refs/K8F3.jpeg,stimuli_refs/K7F2.jpeg,stimuli_refs/K6F1.jpeg
1,4,I,C,8,D,2,it1,stimuli_refs/K8F2.jpeg,it2,stimuli_refs/K10F3.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K6F1.jpeg,it3,stimuli_refs/K12F3.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K10F3.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K6F1.jpeg,stimuli_refs/K8F3.jpeg,stimuli_refs/K6F2.jpeg,stimuli_refs/K4F1.jpeg
0.5,6,I,C,10,A,1,it1,stimuli_refs/K10F2.jpeg,it2,stimuli_refs/K9F1.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K11F3.jpeg,it3,stimuli_refs/K8F1.jpeg,stimuli_refs/K9F2.jpeg,stimuli_refs/K10F3.jpeg,stimuli_refs/K9F1.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K11F3.jpeg,stimuli_refs/K10F1.jpeg,stimuli_refs/K11F2.jpeg,stimuli_refs/K12F3.jpeg
1.5,4,I,C,10,A,2,it1,stimuli_refs/K10F2.jpeg,it2,stimuli_refs/K8F1.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K12F3.jpeg,it3,stimuli_refs/K6F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K10F3.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K12F3.jpeg,stimuli_refs/K10F1.jpeg,stimuli_refs/K12F2.jpeg,stimuli_refs/K14F3.jpeg
1.5,4,I,C,10,D,1,it1,stimuli_refs/K10F2.jpeg,it2,stimuli_refs/K11F3.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K9F1.jpeg,it3,stimuli_refs/K12F3.jpeg,stimuli_refs/K11F2.jpeg,stimuli_refs/K10F1.jpeg,stimuli_refs/K11F3.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K9F1.jpeg,stimuli_refs/K10F3.jpeg,stimuli_refs/K9F2.jpeg,stimuli_refs/K8F1.jpeg
0.5,6,I,C,10,D,2,it1,stimuli_refs/K10F2.jpeg,it2,stimuli_refs/K12F3.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K8F1.jpeg,it3,stimuli_refs/K14F3.jpeg,stimuli_refs/K12F2.jpeg,stimuli_refs/K10F1.jpeg,stimuli_refs/K12F3.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K10F3.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K6F1.jpeg
0.5,4,R,C,8,A,1,it1,stimuli_refs/K8F2.jpeg,it2,stimuli_refs/K7F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K9F3.jpeg,it3,stimuli_refs/K6F1.jpeg,stimuli_refs/K7F2.jpeg,stimuli_refs/K8F3.jpeg,stimuli_refs/K7F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K9F3.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K9F2.jpeg,stimuli_refs/K10F3.jpeg
1,6,R,C,8,A,2,it1,stimuli_refs/K8F2.jpeg,it2,stimuli_refs/K6F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K10F3.jpeg,it3,stimuli_refs/K4F1.jpeg,stimuli_refs/K6F2.jpeg,stimuli_refs/K8F3.jpeg,stimuli_refs/K6F1.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K10F3.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K10F2.jpeg,stimuli_refs/K12F3.jpeg
1.5,6,R,C,8,D,1,it1,stimuli_refs/K8F2.jpeg,it2,stimuli_refs/K9F3.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K7F1.jpeg,it3,stimuli_refs/K10F3.jpeg,stimuli_refs/K9F2.jpeg,stimuli_refs/K8F1.jpeg,stimuli_refs/K9F3.jpeg,stimuli_refs/K8F2.jpeg,stimuli_refs/K7F1.jpeg,stimuli_refs/K8F3.jpeg,stimuli_refs/K7F2.jpeg,stimuli_refs/K6F1.jpeg
